product_id,product_number,name,gender_category,size_gender,price_group,price_krw,base_price_krw,promo_price_krw,price_flags,available_sizes_count,availability_status,availability_label,rating_average,rating_count,image_url,detail_url,sales,store_stock_only
E488239-000,,GIRLS프릴원피스(반팔),KIDS,KIDS,00,19900,19900,19900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.3,3,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488239/item/krgoods_03_488239_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488239-000/00?colorDisplayCode=03,True,False
E488280-000,,스트라이프미니폴로셔츠,WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488280/item/krgoods_34_488280_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488280-000/00?colorDisplayCode=34,True,False
E488342-000,,실크프린트스카프(체크),WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,0,0,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488342/item/krgoods_34_488342_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488342-000/00?colorDisplayCode=34,True,False
E488733-000,,Musical UT(그래픽T)Wicked,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",8,available,판매중,4.5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488733/item/krgoods_58_488733_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488733-000/00?colorDisplayCode=58,True,False
E488734-000,,Musical UT(그래픽T)Les Miserable,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",8,available,판매중,5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488734/item/krgoods_00_488734_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488734-000/00?colorDisplayCode=00,True,False
E488735-000,,Musical UT(그래픽T)CATS,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488735/item/krgoods_09_488735_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488735-000/00?colorDisplayCode=09,True,False
E488841-000,,KIDS AIRism UV PROTECTION풀집파카,KIDS,KIDS,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,5,3,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488841/item/krgoods_69_488841_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488841-000/00?colorDisplayCode=69,True,False
E488860-000,,KIDS라이트웨이트데님배럴앵클팬츠(인디고),KIDS,KIDS,00,19900,19900,19900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.8,11,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488860/item/krgoods_63_488860_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488860-000/00?colorDisplayCode=63,True,False
E488976-000,,GIRLS셔링원피스(슬리브리스)무지,KIDS,KIDS,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488976/item/krgoods_10_488976_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488976-000/00?colorDisplayCode=10,True,False
E488977-000,,GIRLS그래픽T,KIDS,KIDS,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/18부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,4.9,10,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/488977/item/krgoods_00_488977_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E488977-000/00?colorDisplayCode=10,True,False
E489013-000,,DRY-EX T(컬러블록),MEN,MEN,00,14900,14900,14900,"[{""code"": ""limitedOffer"", ""name"": ""2026/07/03부터 2026/07/09까지 기간한정가격"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",7,available,판매중,4.8,19,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489013/item/krgoods_08_489013_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489013-000/00?colorDisplayCode=08,True,False
E489063-000,,GIRLS셔링원피스(슬리브리스)체크,KIDS,KIDS,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",5,available,판매중,5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489063/item/krgoods_01_489063_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489063-000/00?colorDisplayCode=01,True,False
E489065-000,,GIRLS셔링스코츠(체크),KIDS,KIDS,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.7,4,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489065/item/krgoods_01_489065_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489065-000/00?colorDisplayCode=01,True,False
E489136-000,,브로드셔츠(반팔)프린트A,UNISEX,MEN,00,39900,39900,39900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",5,available,판매중,0,0,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489136/item/krgoods_07_489136_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489136-000/00?colorDisplayCode=07,True,False
E489137-000,,브로드셔츠(반팔)프린트B,UNISEX,MEN,00,39900,39900,39900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",5,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489137/item/krgoods_62_489137_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489137-000/00?colorDisplayCode=62,True,False
E489216-000,,보타이원피스(반팔)프린트,WOMEN,WOMEN,00,49900,49900,49900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489216/item/krgoods_13_489216_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489216-000/00?colorDisplayCode=13,True,False
E489216-001,,보타이원피스(반팔)프린트,WOMEN,WOMEN,00,49900,49900,49900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,0,0,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489216001/item/krgoods_34_489216001_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489216-001/00?colorDisplayCode=34,True,False
E489217-000,,릴랙스원피스(반팔)프린트,WOMEN,WOMEN,00,49900,49900,49900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489217/item/krgoods_68_489217_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489217-000/00?colorDisplayCode=68,True,False
E489236-000,,실크프린트스카프(플라워),WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.6,3,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/489236/item/krgoods_13_489236_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E489236-000/00?colorDisplayCode=13,True,False
E490285-000,,오픈칼라셔츠(반팔·프린트)D,MEN,MEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",7,available,판매중,0,0,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/490285/item/krgoods_09_490285_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E490285-000/00?colorDisplayCode=09,True,False
